id,time,values
1,14:57:40,3.8
2,14:57:40,1690.8
3,14:57:40,579.9
4,14:57:40,2426.2
1,14:57:42,1755.0
2,14:57:42,1439.6
3,14:57:42,1050.9
4,14:57:42,2687.9
1,14:57:44,2468.5
2,14:57:44,2239.8
3,14:57:44,522.3
4,14:57:44,2576.8
1,14:57:46,2131.5
2,14:57:46,1540.6
3,14:57:46,912.0
4,14:57:46,45.0
1,14:57:48,274.2
2,14:57:48,1093.4
3,14:57:48,441.9
4,14:57:48,497.7
1,14:57:50,2965.6
2,14:57:50,1337.1
3,14:57:50,357.2
4,14:57:50,14.0
1,14:57:52,26.7
2,14:57:52,1133.6
3,14:57:52,1595.0
4,14:57:52,1713.6
1,14:57:54,1805.3
2,14:57:54,1821.5
3,14:57:54,498.7
4,14:57:54,1989.1
1,14:57:56,1352.4
2,14:57:56,1056.4
3,14:57:56,171.1
4,14:57:56,1823.1
1,14:57:58,2350.0
2,14:57:58,2407.8
3,14:57:58,1559.6
4,14:57:58,905.9
1,14:58:0,2627.9
2,14:58:0,2180.0
3,14:58:0,2867.7
4,14:58:0,2777.2
1,14:58:2,1618.1
2,14:58:2,427.0
3,14:58:2,1386.2
4,14:58:2,706.0
1,14:58:4,2586.7
2,14:58:4,628.8
3,14:58:4,2339.0
4,14:58:4,2531.0
1,14:58:6,2990.4
2,14:58:6,2999.1
3,14:58:6,1834.5
4,14:58:6,1177.3
1,14:58:8,798.6
2,14:58:8,891.8
3,14:58:8,2520.4
4,14:58:8,71.2
1,14:58:10,1127.6
2,14:58:10,277.9
3,14:58:10,2031.6
4,14:58:10,168.6
