number of outliers: 49
id,time,values
1,17:39:29,3.8
2,17:39:29,1690.8
3,17:39:29,579.9
4,17:39:29,2426.2
1,17:39:31,1755.0
4,17:39:31,2687.9
1,17:39:33,2468.5
2,17:39:33,2239.8
3,17:39:33,522.3
4,17:39:33,2576.8
1,17:39:35,2131.5
4,17:39:35,45.0
1,17:39:37,274.2
3,17:39:37,441.9
4,17:39:37,497.7
1,17:39:39,2965.6
3,17:39:39,357.2
4,17:39:39,14.0
1,17:39:41,26.7
4,17:39:41,1713.6
1,17:39:43,1805.3
2,17:39:43,1821.5
3,17:39:43,498.7
4,17:39:43,1989.1
3,17:39:45,171.1
4,17:39:45,1823.1
1,17:39:47,2350.0
2,17:39:47,2407.8
1,17:39:49,2627.9
2,17:39:49,2180.0
3,17:39:49,2867.7
4,17:39:49,2777.2
1,17:39:51,1618.1
2,17:39:51,427.0
4,17:39:51,706.0
1,17:39:53,2586.7
2,17:39:53,628.8
3,17:39:53,2339.0
4,17:39:53,2531.0
1,17:39:55,2990.4
2,17:39:55,2999.1
3,17:39:55,1834.5
1,17:39:57,798.6
2,17:39:57,891.8
3,17:39:57,2520.4
4,17:39:57,71.2
2,17:39:59,277.9
3,17:39:59,2031.6
4,17:39:59,168.6
